MASTER_CAMPAIGN_ID,PRODUCT,METRIC,PP_RESULTS
i2c1509134a,Brand,average_spend,170250.11
i2c1509134a,Rest of Cat,category_share,0
i2c1510047a,JS,category_share,0.175
i2c1507187a,Corsodyl,average_spend,6347.36
i2c1507187a,Own Label,average_spend,3552.04
i2c1509134a,Rest of Cat,average_spend,1.98
i2c1510047a,JS,average_spend,10408.09
i2c1509134a,Thirst,sales_growth,-0.089
i2c1510047a,Ferrero,category_share,0.019
i2c1510047a,Thorntons,average_spend,3837.15
i2c1510047a,Cadbury,average_spend,11698.08
i2c1507187a,JS,average_spend,62641.74
i2c1509134a,Regina,average_spend,93727.7
i2c1509134a,Offer,sales_growth,-0.114
i2c1509134a,JS,sales_growth,-0.054
i2c1510047a,Mars Chocolate,average_spend,8533.88
i2c1510047a,Thorntons,sales_growth,-0.961
i2c1510047a,Cadbury,sales_growth,-0.942
i2c1507187a,JS,sales_growth,0.004
i2c1509134a,Regina,category_share,0.112
i2c1510047a,Brand,average_spend,22860.37
i2c1510047a,Mars Chocolate,category_share,0.074
i2c1509134a,Brand,category_share,0.204
i2c1509134a,Rest of Cat,sales_growth,-0.857
i2c1509134a,Aisle,average_spend,836050.84
i2c1510047a,JS,sales_growth,-0.925
i2c1507187a,Sensodyne,average_spend,235489.92
i2c1507187a,Aisle,average_spend,2080932.29
i2c1507187a,Corsodyl,category_share,0.003
i2c1507187a,Own Label,category_share,0.002
i2c1507187a,Brand,average_spend,420235.35
i2c1507187a,Offer,average_spend,37448.34
i2c1509134a,Thirst,average_spend,68629.5
i2c1510047a,Ferrero,average_spend,7340.9
i2c1510047a,Brand,sales_growth,-0.93
i2c1509134a,Thirst,category_share,0.082
i2c1509134a,Regina,sales_growth,0.012
i2c1510047a,Brand,category_share,0.116
i2c1510047a,Mars Chocolate,sales_growth,-0.931
i2c1510047a,Rest of Cat,category_share,0.403
i2c1510047a,Aisle,average_spend,57858.55
i2c1510047a,Offer,category_share,0.013
i2c1507187a,Rest of Cat,average_spend,1356217.92
i2c1507187a,Rest of Cat,sales_growth,0.025
i2c1510047a,Rest of Cat,sales_growth,-0.921
i2c1510047a,Aisle,category_share,1
i2c1510047a,Offer,sales_growth,-0.979
i2c1510047a,Ferrero,sales_growth,-0.938
i2c1510047a,Thorntons,category_share,0.023
i2c1510047a,Cadbury,category_share,0.19
i2c1507187a,JS,category_share,0.03
i2c1509134a,JS,category_share,0.504
i2c1509134a,Offer,category_share,0.099
i2c1509134a,Brand,sales_growth,-0.103
i2c1509134a,Aisle,category_share,1
i2c1507187a,Brand,category_share,0.202
i2c1507187a,Sensodyne,category_share,0.113
i2c1507187a,Corsodyl,sales_growth,0.213
i2c1507187a,Aisle,category_share,1
i2c1507187a,Own Label,sales_growth,0.096
i2c1507187a,Offer,category_share,0.018
i2c1509134a,Aisle,sales_growth,-0.067
i2c1510047a,Rest of Cat,average_spend,23322.2
i2c1510047a,Offer,average_spend,5147.1
i2c1507187a,Sensodyne,sales_growth,0.171
i2c1507187a,Aisle,sales_growth,0.02
i2c1507187a,Brand,sales_growth,-0.061
i2c1507187a,Offer,sales_growth,0.263
i2c1509134a,Offer,average_spend,82374.68
i2c1509134a,JS,average_spend,421068.8
i2c1510047a,Aisle,sales_growth,-0.93
i2c1507187a,Rest of Cat,category_share,0.652
