MASTER_CAMPAIGN_ID,PERIOD,PERIOD_DATE
i2c1510047a,6,21/01/2016
i2c1510047a,5,25/12/2015
i2c1510047a,4,24/12/2015
i2c1510047a,3,27/10/2015
i2c1510047a,2,26/10/2015
i2c1510047a,1,04/08/2015
i2c1507187a,6,08/12/2015
i2c1507187a,5,28/10/2015
i2c1507187a,4,27/10/2015
i2c1507187a,3,05/10/2015
i2c1507187a,2,04/10/2015
i2c1507187a,1,13/07/2015
i2c1509134a,6,12/01/2016
i2c1509134a,5,02/12/2015
i2c1509134a,4,01/12/2015
i2c1509134a,3,27/10/2015
i2c1509134a,2,26/10/2015
i2c1509134a,1,04/08/2015
